,Lowest Values,Run Times (s)
0,"[5.3964518 5.3964518 5.3964518 5.3964518 5.3964518 5.3964518 5.3964518
 5.3964518 5.3964518 5.3964518 5.3964518 5.3964518 5.3964518 5.3964518
 5.3964518 5.3964518 5.3964518 5.3964518 5.3964518 5.3964518 5.3964518
 5.3964518 5.3964518 5.3964518 5.3964518 5.3964518 5.3964518 5.3964518
 5.3964518 5.3964518 5.3964518 3.414752  3.414752  3.414752  3.414752
 3.414752  3.414752  3.414752  3.414752  3.414752  3.414752  3.414752
 3.414752  3.414752  3.414752  3.414752  2.8421502 2.8421502 2.8421502
 2.8421502 2.8421502 2.8421502 2.8421502 2.8421502 2.8421502 2.8421502
 2.8421502 2.7929636 2.7929636 2.7929636 2.7929636 2.7929636 2.7929636
 2.7929636 2.7929636 2.7929636 2.7929636 2.7929636 2.6411694 2.6411694
 2.54727   2.54727   2.54727   2.54727   2.54727   2.54727   2.54727
 2.54727   2.54727   2.54727   2.54727   2.54727   2.54727   2.54727
 2.54727   2.54727   2.54727   2.54727   2.54727   2.54727   2.54727
 2.54727   2.54727   2.54727   2.54727   2.4517242 2.431491  2.431491
 2.431491  2.431491  2.431491  2.431491  2.431491  2.431491  2.431491
 2.431491  2.431491  2.431491  2.431491  2.431491  2.431491  2.431491
 2.431491  2.431491  2.431491  2.431491  2.4004392 2.4004392 2.4004392
 2.4004392 2.4004392 2.4004392 2.4004392 2.4004392 2.4004392 2.4004392
 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606
 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606
 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606
 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606
 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606
 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606
 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606 2.3063606
 2.3063606]",265.25399351119995
1,"[6.0833754 6.0833754 6.0833754 6.0833754 6.0833754 6.0833754 5.8256204
 5.8256204 5.8256204 5.8256204 5.8256204 5.8256204 5.390971  5.390971
 5.390971  5.390971  5.109629  5.109629  5.109629  5.0801754 5.0801754
 5.0801754 5.0801754 5.0801754 4.9485894 4.9485894 4.9485894 4.9485894
 4.9485894 4.9485894 4.9485894 4.9485894 4.9485894 4.8972658 4.8972658
 4.8972658 4.8972658 4.8972658 4.780595  4.780595  4.780595  4.780595
 4.780595  4.780595  4.780595  4.780595  4.3383918 4.3228274 4.3228274
 4.3228274 4.3228274 4.3228274 4.3228274 4.3228274 4.3228274 4.2500112
 4.2500112 4.2500112 4.2500112 4.2500112 4.2500112 4.2500112 4.2500112
 4.2500112 4.2500112 3.9111294 3.9111294 3.9111294 3.9111294 3.9111294
 3.9111294 3.9111294 3.9111294 3.9111294 3.775594  3.775594  3.775594
 3.775594  3.775594  3.775594  3.775594  3.775594  3.775594  3.775594
 3.7602894 3.7602894 3.7602894 3.7602894 3.7602894 3.7602894 3.3373116
 3.3373116 3.3373116 3.3373116 3.1987502 3.1987502 3.1987502 3.1987502
 3.1987502 3.1987502 3.1987502 3.1055614 3.1055614 3.1055614 3.1055614
 2.8149118 2.8149118 2.8149118 2.8149118 2.8149118 2.8149118 2.8149118
 2.8149118 2.8149118 2.8149118 2.8149118 2.7640312 2.7640312 2.7640312
 2.7640312 2.7640312 2.7640312 2.7640312 2.7640312 2.7324596 2.7324596
 2.7324596 2.7324596 2.7324596 2.5970702 2.5970702 2.5970702 2.5970702
 2.5970702 2.5970702 2.5970702 2.5970702 2.5970702 2.5970702 2.5970702
 2.5970702 2.5970702 2.5970702 2.5970702 2.5970702 2.5970702 2.5970702
 2.5970702 2.5970702 2.5970702 2.5356628 2.5356628 2.5356628 2.5356628
 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628
 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628
 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628
 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628
 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628
 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628 2.5356628
 2.5356628 2.5356628 2.5356628 2.489327  2.489327  2.489327  2.489327
 2.489327  2.489327  2.489327  2.489327  2.489327  2.489327  2.489327
 2.489327  2.489327  2.489327  2.489327  2.489327  2.489327  2.489327
 2.489327  2.489327  2.489327  2.489327  2.489327  2.489327  2.489327
 2.489327  2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304
 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304
 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304
 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304
 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304
 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304
 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304 2.3854304
 2.3854304 2.3854304]",534.7056305408478
2,"[5.7553578 5.7553578 5.7553578 5.462547  5.462547  5.462547  5.462547
 5.462547  5.462547  5.3087418 5.127415  5.127415  5.127415  5.127415
 5.127415  5.127415  5.127415  4.8614664 4.8614664 4.8614664 4.8614664
 3.8005302 3.8005302 3.6500588 3.6500588 3.6500588 3.6500588 3.6500588
 3.6500588 3.6500588 3.6500588 3.6500588 3.6254296 3.6254296 3.6254296
 3.6254296 3.6254296 3.6254296 3.6254296 3.6254296 3.6254296 3.6254296
 3.6254296 3.5138498 3.373182  3.3200416 3.3200416 3.246079  3.246079
 3.1332644 3.1332644 3.1332644 3.1332644 3.1332644 3.1332644 3.1332644
 2.9346606 2.9346606 2.7772664 2.7772664 2.7772664 2.7772664 2.7772664
 2.7772664 2.7772664 2.7772664 2.7772664 2.7772664 2.7772664 2.595271
 2.595271  2.595271  2.595271  2.595271  2.595271  2.595271  2.595271
 2.595271  2.595271  2.595271  2.595271  2.595271  2.595271  2.595271
 2.595271  2.595271  2.5583552 2.5583552 2.5583552 2.5583552 2.5583552
 2.5583552 2.5583552 2.5485836 2.5485836 2.5485836 2.5485836 2.5485836
 2.5485836 2.5485836 2.4405698 2.4405698 2.4405698 2.4288314 2.4288314
 2.4288314 2.4288314 2.4288314 2.4288314 2.4288314 2.4288314 2.4288314
 2.4288314 2.4288314 2.3844712 2.3697958 2.3697958 2.3697958 2.3697958
 2.3697958 2.3697958 2.3697958 2.3697958 2.3697958 2.3697958 2.3697958
 2.3697958 2.222443  2.222443  2.222443  2.222443  2.222443  2.222443
 2.222443  2.222443  2.222443  2.222443  2.222443  2.222443  2.222443
 2.222443  2.222443  2.222443  2.222443  2.222443  2.222443  2.222443
 2.222443  2.222443  2.222443  2.222443  2.222443  2.222443  2.222443
 2.222443  2.222443  2.222443  2.222443  2.222443  2.222443  2.222443
 2.222443  2.222443  2.222443  2.222443  2.222443  2.222443  2.222443
 2.222443  2.222443  2.222443  2.222443  2.222443  2.222443  2.222443
 2.222443  2.222443 ]",330.9275336265564
3,"[5.6771844 5.6771844 5.6771844 5.6771844 5.6771844 5.6771844 5.6771844
 5.6771844 5.6771844 5.6771844 5.6771844 5.6771844 5.6771844 5.6771844
 5.6771844 5.6771844 5.6771844 5.6771844 5.6771844 5.6771844 5.6771844
 5.5185778 5.5185778 5.5185778 5.5185778 5.5185778 5.5185778 5.5185778
 5.2388094 5.2388094 5.2388094 5.2388094 5.094405  5.094405  5.094405
 5.094405  5.094405  5.094405  5.094405  5.094405  5.094405  5.094405
 5.094405  5.094405  5.094405  5.094405  4.944957  4.6461788 4.6461788
 4.6461788 4.6461788 4.6461788 4.6461788 4.6461788 4.6461788 4.6461788
 4.6461788 4.6461788 4.6461788 4.6461788 4.6461788 4.6461788 4.6461788
 4.6461788 4.6461788 4.6461788 4.6461788 4.6461788 4.6461788 4.5296506
 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506
 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506
 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506
 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506
 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506
 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506
 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506 4.5296506]",192.76835870742798
4,"[4.6324714 4.6324714 4.6324714 4.6324714 4.6324714 4.6324714 4.6324714
 4.6324714 4.6324714 4.6324714 4.6324714 4.6324714 4.6324714 4.6324714
 4.6324714 4.6324714 4.6324714 4.6324714 4.6324714 4.6324714 4.496677
 4.496677  4.496677  4.383817  4.383817  4.247792  3.2644196 3.2644196
 3.2644196 3.2644196 3.1912948 3.1912948 3.1912948 3.1912948 3.1912948
 3.1912948 3.1912948 3.1912948 2.88927   2.88927   2.88927   2.88927
 2.88927   2.88927   2.88927   2.88927   2.88927   2.88927   2.88927
 2.88927   2.88927   2.88927   2.864865  2.8135912 2.8135912 2.8135912
 2.6885014 2.6885014 2.6885014 2.6885014 2.6885014 2.6885014 2.6190096
 2.6190096 2.6190096 2.6190096 2.6190096 2.277143  2.277143  2.277143
 2.277143  2.277143  2.277143  2.277143  2.277143  2.277143  2.277143
 2.277143  2.277143  2.277143  2.277143  2.277143  2.277143  2.277143
 2.277143  2.277143  2.277143  2.277143  2.277143  2.277143  2.277143
 2.277143  2.277143  2.277143  2.277143  2.237148  2.237148  2.237148
 2.237148  2.237148  2.237148  2.237148  2.237148  2.237148  2.237148
 2.237148  2.237148  2.237148  2.237148  2.237148  2.237148  2.237148
 2.237148  2.237148  2.237148  2.237148  2.237148  2.237148  2.237148
 2.237148  2.237148  2.237148  2.237148  2.237148  2.237148  2.237148
 2.237148  2.237148  2.237148  2.237148  2.237148  2.237148  2.237148
 2.237148  2.237148  2.237148  2.237148  2.237148  2.237148  2.237148
 2.237148  2.237148  2.237148  2.237148  2.237148 ]",215.0807421207428
5,"[6.5933652 6.5933652 6.5933652 6.5933652 6.5933652 6.5933652 6.5268562
 6.5268562 6.5268562 6.5268562 6.1383696 6.1383696 6.1383696 4.447693
 4.447693  4.447693  4.447693  4.447693  4.447693  4.447693  4.447693
 4.447693  4.447693  4.447693  4.447693  4.447693  4.447693  4.0375278
 4.0375278 4.0375278 4.0375278 4.0375278 4.0375278 4.0375278 4.0375278
 4.0375278 3.733107  3.733107  3.733107  3.733107  3.733107  3.733107
 3.733107  3.7225414 3.7225414 3.7225414 3.5407864 3.5407864 3.381686
 3.298338  3.298338  3.298338  3.298338  3.298338  3.2796914 3.1775944
 3.1775944 3.0359278 3.0359278 3.0359278 3.0359278 3.0359278 2.7571562
 2.7571562 2.7571562 2.7571562 2.7571562 2.7571562 2.7571562 2.7018116
 2.7018116 2.7018116 2.701662  2.701662  2.4601632 2.4601632 2.4601632
 2.4601632 2.4601632 2.4562748 2.4562748 2.4562748 2.4562748 2.4562748
 2.4562748 2.4562748 2.3791656 2.3791656 2.3791656 2.3791656 2.3791656
 2.3791656 2.3791656 2.3791656 2.3791656 2.3791656 2.3791656 2.3791656
 2.3791656 2.3791656 2.3791656 2.3382078 2.3382078 2.3382078 2.3382078
 2.2808016 2.2808016 2.2808016 2.2808016 2.2808016 2.2808016 2.2808016
 2.2808016 2.2808016 2.2808016 2.2808016 2.2808016 2.2808016 2.230602
 2.230602  2.230602  2.230602  2.230602  2.230602  2.230602  2.230602
 2.230602  2.230602  2.230602  2.230602  2.230602  2.230602  2.230602
 2.230602  2.230602  2.230602  2.230602  2.230602  2.230602  2.230602
 2.230602  2.230602  2.230602  2.230602  2.230602  2.230602  2.230602
 2.230602  2.230602  2.230602  2.230602  2.230602  2.230602  2.230602
 2.230602  2.230602  2.230602  2.230602  2.230602  2.230602  2.230602
 2.230602  2.230602  2.1467058 2.1467058 2.1467058 2.1467058 2.1467058
 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058
 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058
 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058
 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058
 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058
 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058 2.1467058
 2.1467058 2.1467058 2.1467058]",338.00668454170227
6,"[6.409512  6.409512  6.409512  6.409512  6.409512  6.409512  6.409512
 6.409512  6.409512  6.409512  6.409512  5.3765806 5.3765806 5.3765806
 5.3765806 5.3765806 5.3765806 3.8520318 3.8520318 3.8520318 3.8520318
 3.8520318 3.8520318 3.8520318 3.8520318 3.8520318 3.8520318 3.3226284
 3.0528566 3.0528566 3.0528566 3.0528566 3.0528566 3.0528566 3.0528566
 3.0528566 3.0528566 3.0528566 3.0528566 3.0528566 3.0528566 3.0528566
 3.0528566 3.0528566 3.0362044 3.0362044 2.9288458 2.9288458 2.9288458
 2.9288458 2.8049302 2.792496  2.792496  2.7837848 2.7837848 2.7837848
 2.7837848 2.7837848 2.7837848 2.7837848 2.7837848 2.7837848 2.7837848
 2.7315642 2.7315642 2.7315642 2.7315642 2.7315642 2.5575656 2.5575656
 2.5575656 2.5575656 2.5575656 2.5575656 2.5575656 2.5575656 2.5575656
 2.5575656 2.5575656 2.492819  2.4015084 2.4015084 2.4015084 2.4015084
 2.4015084 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546
 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546
 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546
 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546
 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546
 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546
 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546 2.2923546
 2.2923546 2.2923546]",203.77995586395264
7,"[5.7858072 5.7858072 5.7858072 5.7858072 5.7858072 5.7858072 5.7858072
 5.7858072 5.7858072 5.7858072 5.7858072 5.7858072 5.7858072 5.6695508
 5.6695508 5.6695508 5.6695508 5.6695508 5.6695508 5.6695508 5.6695508
 5.6695508 5.6695508 5.6695508 5.6695508 5.5589964 5.5589964 5.5589964
 5.5589964 5.5589964 5.5589964 5.5589964 5.5589964 5.5589964 5.5589964
 5.5589964 5.5589964 5.5138174 5.5138174 5.5138174 5.5138174 5.5138174
 5.5138174 5.5138174 5.5138174 5.5138174 5.5138174 5.5138174 5.5138174
 5.5138174 5.5138174 5.5138174 4.681266  4.681266  4.681266  4.681266
 4.681266  4.681266  4.681266  4.681266  4.681266  4.681266  4.681266
 4.681266  4.681266  4.681266  4.681266  4.681266  4.681266  4.681266
 4.681266  3.9146296 3.9146296 3.9146296 3.9146296 3.9146296 3.9146296
 3.9146296 3.9146296 3.9146296 3.9146296 3.9146296 3.7855908 3.7855908
 3.7855908 3.7855908 3.7855908 3.7855908 3.6704562 3.6704562 3.6704562
 3.6704562 3.6704562 3.5613948 3.5613948 3.5613948 3.5613948 3.5613948
 3.5613948 3.5613948 3.5613948 3.5613948 3.5613948 3.5613948 3.5613948
 3.5613948 3.5613948 3.5613948 3.5613948 3.5510048 3.5510048 3.5510048
 3.5510048 3.5510048 3.4798392 3.4798392 3.4449004 3.4449004 3.384061
 3.2245234 3.2245234 3.2245234 3.2245234 3.2245234 3.2245234 3.2245234
 3.2245234 3.2245234 3.2245234 3.2245234 3.2245234 3.2245234 3.2245234
 3.2245234 3.2245234 3.128364  3.128364  3.128364  3.128364  3.128364
 3.128364  3.128364  3.128364  3.128364  3.128364  3.128364  3.128364
 3.128364  3.128364  3.128364  3.128364  3.128364  3.128364  3.128364
 3.128364  3.128364  3.128364  3.128364  3.128364  3.128364  3.128364
 3.128364  3.128364  3.128364  3.128364  3.128364  3.128364  3.128364
 3.128364  3.128364  3.128364  3.128364  3.128364  3.128364  3.128364
 3.128364  3.128364  3.128364  3.128364  3.128364  3.128364  3.128364
 3.128364  3.128364  3.128364 ]",223.54282689094543
8,"[5.002852  5.002852  5.002852  5.002852  5.002852  5.002852  5.002852
 5.002852  5.002852  5.002852  5.002852  5.002852  5.002852  5.002852
 5.002852  5.002852  5.002852  5.002852  5.002852  5.002852  5.002852
 5.002852  3.9914844 3.9914844 3.9914844 3.9914844 3.9914844 3.9914844
 3.9914844 3.9914844 3.7636402 3.7636402 3.7636402 3.7636402 3.7636402
 3.7636402 3.7636402 3.7636402 3.577667  3.577667  3.577667  3.577667
 3.577667  3.577667  3.577667  3.577667  3.577667  3.577667  3.577667
 3.577667  3.577667  3.577667  3.577667  3.577667  3.577667  3.577667
 3.2124778 3.2087772 2.1311686 2.1311686 2.1311686 2.1311686 2.1311686
 2.1311686 2.1311686 2.1311686 2.1311686 2.1311686 2.1311686 2.1311686
 2.1311686 2.1311686 2.1311686 2.1311686 2.1311686 2.1311686 2.1311686
 1.8330138 1.8330138 1.8330138 1.8330138 1.8330138 1.8330138 1.8330138
 1.8330138 1.8330138 1.8330138 1.8330138 1.8330138 1.8330138 1.8330138
 1.8330138 1.8330138 1.8330138 1.8330138 1.8326254 1.8326254 1.8326254
 1.8326254 1.8326254 1.8326254 1.8326254 1.771453  1.771453  1.771453
 1.771453  1.771453  1.771453  1.771453  1.771453  1.771453  1.771453
 1.771453  1.771453  1.771453  1.771453  1.771453  1.771453  1.771453
 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952
 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952
 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952
 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952
 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952
 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952
 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952 1.5723952
 1.5723952]",218.11191272735596
9,"[6.4788728 6.4788728 6.4788728 6.4788728 6.4788728 6.4788728 6.4788728
 6.4788728 6.4788728 6.4788728 6.4788728 6.4788728 6.4788728 6.4788728
 6.4788728 6.4788728 6.4788728 6.4788728 6.4788728 6.4788728 6.4788728
 6.4788728 6.4788728 6.4788728 6.4788728 6.4788728 6.4788728 6.4788728
 6.4788728 6.28475   6.28475   6.28475   6.28475   6.28475   5.936389
 5.6736204 5.474253  5.474253  5.474253  5.474253  5.474253  5.474253
 5.474253  5.474253  5.221514  5.221514  5.221514  5.221514  5.221514
 4.9032376 4.9032376 4.9032376 4.9032376 4.9032376 4.9032376 4.9032376
 4.9032376 4.9032376 4.5154132 4.5154132 4.5154132 3.7548632 3.7548632
 3.7548632 3.7548632 3.7548632 3.7548632 3.7548632 3.7548632 3.7548632
 3.7548632 3.7548632 3.7548632 3.7548632 3.7548632 3.7548632 3.7548632
 3.7548632 3.7548632 3.7548632 3.7548632 3.7548632 3.7548632 3.7548632
 3.6188594 3.6188594 3.6188594 3.6188594 3.6188594 3.6188594 3.6153748
 3.4367608 3.4367608 3.4367608 3.4367608 3.4367608 3.4367608 3.4367608
 3.4367608 3.4367608 3.4367608 3.4367608 3.4367608 3.4367608 3.4367608
 3.3740786 3.3740786 3.315406  3.315406  3.2973368 3.2973368 3.2973368
 3.2973368 3.2973368 3.2973368 3.2973368 3.2973368 3.163683  3.163683
 3.163683  3.163683  3.163683  3.163683  3.163683  3.163683  3.163683
 3.163683  3.1437492 2.8579098 2.8579098 2.8579098 2.8579098 2.8579098
 2.8579098 2.8579098 2.8579098 2.8579098 2.8579098 2.8579098 2.8579098
 2.7171162 2.7171162 2.7171162 2.7171162 2.7171162 2.7171162 2.7171162
 2.7171162 2.6574312 2.6574312 2.6574312 2.6574312 2.6574312 2.6574312
 2.6574312 2.6574312 2.6574312 2.6574312 2.6574312 2.6543168 2.6429426
 2.6212364 2.6212364 2.6212364 2.6212364 2.6212364 2.6212364 2.4936906
 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906
 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906
 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906
 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906
 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906
 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906
 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906 2.4936906]",286.2138627
